"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
11,"NCT02444884","MLN8237 to Treat Children With Relapsed/Refractory Solid Tumors",,"Completed","No Results Available","Unspecified Childhood Solid Tumor, Excluding CNS|Neuroblastoma","Drug: MLN8237","Determine maximum tolerated dose and RP2D administered once daily on Days 1-7|Determine maximum tolerated dose and RP2D administered po BID on Days 1-7|Adverse events as assessed by (CTCAE) version 4.0|PK Profile: MLN8237 concentrations in plasma samples","Children's Oncology Group|National Cancer Institute (NCI)","All","12 Months to 21 Years   (Child, Adult)","Phase 1","54","Other|NIH","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ADVL0812","September 2008","December 2011","December 2011","May 15, 2015",,"February 9, 2016",,,"https://ClinicalTrials.gov/show/NCT02444884"
12,"NCT03722576","Vidofludimus Calcium for Primary Sclerosing Cholangitis","PSC","Completed","Has Results","Primary Sclerosing Cholangitis","Drug: Vidofludimus calcium","Subjects Who Experience a Positive Outcome as Measured by Combination of Serum Alkaline Phosphatase (ALP) and Aspartate Aminotransferase (AST) Levels.|Abnormal Aspartate Aminotransferase (AST)|Abnormal Alanine Aminotransferase (ALT)|Abnormal Total Bilirubin|Abnormal Direct Bilirubin","Elizabeth Carey|Arizona State University|Mayo Clinic","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 2","18","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IND140679","June 17, 2019","June 30, 2020","June 30, 2020","October 29, 2018","June 2, 2021","June 2, 2021","Mayo Clinic in Arizona, Phoenix, Arizona, United States|Arizona State University, Tempe, Arizona, United States|Mayo Clinic in Rochester, Rochester, Minnesota, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/76/NCT03722576/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT03722576"
13,"NCT02916537","A Phase 1 Trial for Evaluation of the Safety, Pharmacokinetics, and [18F] Radiation Dosimetry of CTT1057",,"Completed","No Results Available","Prostate Cancer","Drug: CTT1057|Procedure: Prostatectomy","Adverse event frequency as graded by Common Toxicity Criteria version 4.03|Organ dosimetry/tissue uptake of CTT1057 as measured by PET/MR imaging of prostate cancer|Pharmacokinetic profile of CTT1057 as measured by radiotracer detection in blood samples|Level of CTT1057 uptake on PET/MR imaging of localized prostate cancer with PSMA protein expression by immunohistochemistry from subsequent radical prostatectomy specimens|Optimal Standardized Uptake Value (SUV) ratio threshold on CTT1057 PET/MR for discriminating tumor pathology from primary prostate cancer tissue|Sensitivity and specificity of CTT1057 PET imaging on a lesion-by-lesion basis as compared with standard imaging in metastatic prostate cancer|Number of positive lesions on CTT1057 PET/MR in subjects with equivocal or negative conventional imaging scans|Location of positive lesions on CTT1057 PET/MR in subjects with equivocal or negative conventional imaging scans","Cancer Targeted Technology|University of California, San Francisco","Male","18 Years and older   (Adult, Older Adult)","Phase 1","20","Industry|Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","1057-101","September 2016","August 28, 2017","August 28, 2017","September 27, 2016",,"November 6, 2017","University of California San Francisco, San Francisco, California, United States",,"https://ClinicalTrials.gov/show/NCT02916537"
14,"NCT04313166","Treatment Continuation Study for Patients With ALS/MND Who Completed Study CMD-2019-001",,"Completed","No Results Available","Amyotrophic Lateral Sclerosis","Drug: Cu(II)ATSM","Treatment-related changes in disease severity|Treatment-related changes in cognitive function|Treatment-related changed in respiratory function|Treatment tolerance","Collaborative Medicinal Development Pty Limited","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 2","55","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CMD-2020-001","March 19, 2020","November 18, 2021","February 15, 2022","March 18, 2020",,"February 17, 2022","Macquarie University, Macquarie Park, New South Wales, Australia",,"https://ClinicalTrials.gov/show/NCT04313166"
15,"NCT01533181","Linsitinib or Topotecan Hydrochloride in Treating Patients With Relapsed Small Cell Lung Cancer",,"Completed","Has Results","Recurrent Small Cell Lung Carcinoma","Other: Laboratory Biomarker Analysis|Drug: Linsitinib|Other: Pharmacological Study|Drug: Topotecan Hydrochloride","Median Progression Free Survival (PFS)|Disease Control Rate (DCR)|Incidence of Serious Adverse Events (SAEs) Possibly/Probably Definitely Related to Study Drugs|Overall Survival (OS)","National Cancer Institute (NCI)","All","18 Years and older   (Adult, Older Adult)","Phase 2","44","NIH","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","NCI-2012-00245|CDR0000724806|MCC-16628|MCC 16628|8873|N01CM00070|N01CM00099|N01CM00100|P30CA076292","February 2012","November 2014","November 2014","February 15, 2012","January 14, 2016","January 14, 2016","Mayo Clinic in Arizona, Scottsdale, Arizona, United States|Moffitt Cancer Center, Tampa, Florida, United States|Emory University/Winship Cancer Institute, Atlanta, Georgia, United States|University of Iowa/Holden Comprehensive Cancer Center, Iowa City, Iowa, United States|Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins Hospital, Baltimore, Maryland, United States|Billings Clinic Cancer Center, Billings, Montana, United States|Case Western Reserve University, Cleveland, Ohio, United States|Ohio State University Comprehensive Cancer Center, Columbus, Ohio, United States|Vanderbilt University/Ingram Cancer Center, Nashville, Tennessee, United States|University of Wisconsin Hospital and Clinics, Madison, Wisconsin, United States|Johns Hopkins Singapore, Singapore, Singapore",,"https://ClinicalTrials.gov/show/NCT01533181"
16,"NCT01605526","A Study of RO5045337 in Combination With Doxorubicin in Patients With Soft Tissue Sarcoma",,"Completed","No Results Available","Sarcoma","Drug: RO5045337|Drug: doxorubicin","Maximum tolerated dose/dose-limiting toxicities|Safety: Incidence of adverse events|Pharmacokinetics of RO5045337 and doxorubicin in combination therapy: Area under the concentration-time curve (AUC)|Pharmacodynamics: Serum macrophage inhibitory cytokine-1 (MIC-1) levels","Hoffmann-La Roche","All","18 Years and older   (Adult, Older Adult)","Phase 1","23","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","NP28021|2011-006279-21","May 2012","June 2013","June 2013","May 25, 2012",,"November 2, 2016","Santa Monica, California, United States|Boston, Massachusetts, United States|Hackensack, New Jersey, United States|Philadelphia, Pennsylvania, United States|Salt Lake City, Utah, United States|Bordeaux, France|Lyon, France|Toulouse, France|Villejuif, France",,"https://ClinicalTrials.gov/show/NCT01605526"
17,"NCT02419417","Study of BMS-986158 in Subjects With Select Advanced Cancers","BET","Completed","No Results Available","Advanced Tumors","Drug: BMS-986158|Biological: Nivolumab","Number of Adverse Events (AEs)|Number of Serious Adverse Events (SAEs)|Number of AEs leading to discontinuation|Number of laboratory test toxicity grade shifting from baseline|Best Overall Response|Objective Response Rate (ORR)|Duration of Response|Maximum observed plasma concentration (Cmax)|Time of maximum observed plasma concentration (Tmax)|Area under the plasma concentration-time curve from time zero to time of last quantifiable concentration (AUC(0-T))|Area under the concentration-time curve in one dosing interval (AUC(TAU))|Apparent terminal phase half-life (T-HALF)|Area under the plasma concentration-time curve from time zero extrapolated to infinite time (AUC(INF))|Apparent total body clearance, reported only for parent, not for metabolite (CLT/F)|Apparent volume of distribution of terminal phase, reported only for parent, not for metabolite (Vz/F)|Minimum observed concentration within a dosing interval (Cmin)|Concentration at the end of a dosing interval (Ctau)|Trough observed plasma concentration (this includes predose concentrations (C0) and concentrations at the end of dosing interval (Ctau)) (Ctrough)|Degree of Fluctuation or Fluctuation Index ([Cmax-Cmin)/Css-avg])|[Cmax - Cmin] / Cmin; to be calculated at steady-state (Swing)|Accumulation Index (AI)|Effective elimination half-life that explains the degree of accumulation observed for a specific exposure measure (T-HALFeff)|Ratio of metabolite Cmax to parent Cmax, corrected for molecular weight (MR_Cmax)|Ratio of metabolite AUC(0-T) to parent AUC(0-T), corrected for molecular weight (MR_AUC(0-T))|Ratio of metabolite AUC(INF) to parent AUC(INF), corrected for molecular weight (following single dose only) (MR_AUC(INF))|Ratio of metabolite AUC(TAU) to parent AUC(TAU), corrected for molecular weight (MR_AUC(TAU))|Electrocardiogram (ECG) QT (time of ventricular activity including both depolarization and repolarization) Interval","Bristol-Myers Squibb","All","12 Years and older   (Child, Adult, Older Adult)","Phase 1|Phase 2","83","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CA011-001|2015-000324-29","June 19, 2015","March 17, 2021","March 17, 2021","April 17, 2015",,"February 24, 2022","City Of Hope National Medical Center, Duarte, California, United States|University Of Colorado, Aurora, Colorado, United States|Dana Farber Cancer Institute., Boston, Massachusetts, United States|Oregon Health & Science University, Portland, Oregon, United States|Univ. Of Pa, Philadelphia, Pennsylvania, United States|Institute for Translational Oncology Research-ITOR, Greenville, South Carolina, United States|Nucleus Network, Melbourne, Victoria, Australia|The Ottawa Hospital Cancer Centre, Ottawa, Ontario, Canada|Local Institution, Lyon Cedex 08, France|Local Institution, Villejuif, France|H. Univ. Vall dHebron, Barcelona, Spain|Centro Integral Oncologico Clara Campal, Madrid, Spain|Clinica Universidad de Navarra, Pamplona, Spain",,"https://ClinicalTrials.gov/show/NCT02419417"
18,"NCT01462175","A First-In-Human Study of RO5503781 in Participants With Advanced Malignancies Except Leukemia",,"Completed","No Results Available","Neoplasms","Drug: RO5503781","Maximum Tolerated Dose (MTD)|Percentage of Participants With Dose Limiting Toxicities (DLTs)|Percentage of Participants With Adverse Events (AEs) and Serious Adverse Events (SAEs)|Plasma Concentration of RO5503781|Urine Concentration of RO5503781|Progression Free Survival (PFS) According to Response Evaluation Criteria in Solid Tumors (RECIST)|Percentage of Participants With Objective Response [Complete Response (CR) plus Partial Response(PR)] According to Response Evaluation Criteria in Solid Tumors (RECIST)|Standardized Uptake Value (SUV) obtained from the Positron Emission Tomography With 18-Fluorothymidine [(18F)-FLT-PET) Images|Pharmacodynamics: p21 Levels in Tumor as Measured by Immunohistochemistry|Pharmacodynamics: Tumor suppressor gene (p53) Levels in Tumor as Measured by Immunohistochemistry|Pharmacodynamics: Murine Double Minute 2 (MDM2) Levels in Tumor as Mesured by Reverse transcription polymerase chain reaction (RT-PCR)|Pharmacodynamics: Ki-67 Levels in Tumor as Measured by Immunohistochemistry|Pharmacodynamics: Terminal deoxynucleotidyl transferase dUTP nick end labeling (TUNEL) Levels in Tumor as Measured by Immunohistochemistry|Progression Free Survival (PFS) According to Cheson Criteria|Pharmacodynamics: p53 Mutation Status in Tumor as Measured by AmpliChip p53 Test|Pharmacodynamics: Mouse Double Minute 2 Homolog (MDM2) Gene Copy Number in Tumor as Measured by in situ Hybridization|Area Under the Curve From Time Zero to Extrapolated Infinite Time (AUCinf)|Food-Effect: Area Under the Curve From Time Zero to Extrapolated Infinite Time (AUCinf)|Area Under the Curve from Time Zero to end of dosing interval (AUCtau)|Food-Effect: Area Under the Curve From Time Zero to Extrapolated 168 hours [AUC(0-168)]|Maximum Observed Plasma Concentration (Cmax)|Food-Effect: Maximum Observed Plasma Concentration (Cmax)|Time to Reach Maximum Observed Plasma Concentration (Tmax)|Food-Effect: Time to Reach Maximum Observed Plasma Concentration (Tmax)|Plasma Decay Half-Life (t1/2)|Food-Effect: Plasma Decay Half-Life (t1/2)|Terminal Elimination Rate Constant (Kel)|Food-Effect: Terminal Elimination Rate Constant (Kel)|Apparent Oral Clearance (CL/F)|Apparent Volume of Distribution (Vz/F)|Percentage of Participants With Objective Response [Complete Response (CR) plus Partial Response(PR)] According to Cheson Criteria|Pharmacodynamics: Macrophage Inhibitory Cytokine 1 (MIC-1) Levels in Blood as Measured by Enzyme-linked Immunosorbent Assay (ELISA)","Hoffmann-La Roche","All","18 Years and older   (Adult, Older Adult)","Phase 1","99","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","NP27872|2011-002767-15","November 2011","July 2014","July 2014","October 31, 2011",,"November 2, 2016","Melbourne, Victoria, Australia|Hamilton, Ontario, Canada|Toronto, Ontario, Canada|Montreal, Quebec, Canada|Bordeaux, France|Lyon, France|Seoul, Korea, Republic of|Groningen, Netherlands",,"https://ClinicalTrials.gov/show/NCT01462175"
19,"NCT01334177","TLR8 Agonist VTX-2337 and Cetuximab in Treating Patients With Locally Advanced, Recurrent, or Metastatic Squamous Cell Cancer of Head and Neck",,"Completed","No Results Available","Metastatic Squamous Neck Cancer With Occult Primary Squamous Cell Carcinoma|Recurrent Metastatic Squamous Neck Cancer With Occult Primary|Recurrent Salivary Gland Cancer|Recurrent Squamous Cell Carcinoma of the Hypopharynx|Recurrent Squamous Cell Carcinoma of the Larynx|Recurrent Squamous Cell Carcinoma of the Lip and Oral Cavity|Recurrent Squamous Cell Carcinoma of the Nasopharynx|Recurrent Squamous Cell Carcinoma of the Oropharynx|Recurrent Squamous Cell Carcinoma of the Paranasal Sinus and Nasal Cavity|Recurrent Verrucous Carcinoma of the Larynx|Recurrent Verrucous Carcinoma of the Oral Cavity|Salivary Gland Squamous Cell Carcinoma|Stage III Salivary Gland Cancer|Stage III Squamous Cell Carcinoma of the Hypopharynx|Stage III Squamous Cell Carcinoma of the Larynx|Stage III Squamous Cell Carcinoma of the Lip and Oral Cavity|Stage III Squamous Cell Carcinoma of the Nasopharynx|Stage III Squamous Cell Carcinoma of the Oropharynx|Stage III Squamous Cell Carcinoma of the Paranasal Sinus and Nasal Cavity|Stage III Verrucous Carcinoma of the Larynx|Stage III Verrucous Carcinoma of the Oral Cavity|Stage IV Salivary Gland Cancer|Stage IVA Squamous Cell Carcinoma of the Larynx|Stage IVA Squamous Cell Carcinoma of the Lip and Oral Cavity|Stage IVA Squamous Cell Carcinoma of the Oropharynx|Stage IVA Squamous Cell Carcinoma of the Paranasal Sinus and Nasal Cavity|Stage IVA Verrucous Carcinoma of the Larynx|Stage IVA Verrucous Carcinoma of the Oral Cavity|Stage IVB Squamous Cell Carcinoma of the Larynx|Stage IVB Squamous Cell Carcinoma of the Lip and Oral Cavity|Stage IVB Squamous Cell Carcinoma of the Oropharynx|Stage IVB Squamous Cell Carcinoma of the Paranasal Sinus and Nasal Cavity|Stage IVB Verrucous Carcinoma of the Larynx|Stage IVB Verrucous Carcinoma of the Oral Cavity|Stage IVC Squamous Cell Carcinoma of the Larynx|Stage IVC Squamous Cell Carcinoma of the Lip and Oral Cavity|Stage IVC Squamous Cell Carcinoma of the Oropharynx|Stage IVC Squamous Cell Carcinoma of the Paranasal Sinus and Nasal Cavity|Stage IVC Verrucous Carcinoma of the Larynx|Stage IVC Verrucous Carcinoma of the Oral Cavity|Tongue Cancer","Drug: TLR8 agonist VTX-2337|Biological: cetuximab|Other: laboratory biomarker analysis|Other: pharmacogenomic studies","Maximum tolerated dose and the toxicities of TLR8 agonist VTX-2337 in combination with cetuximab|Pharmacodynamic immune response to TLR8 agonist VTX-2337 in combination with cetuximab","University of Washington|National Cancer Institute (NCI)","All","18 Years and older   (Adult, Older Adult)","Phase 1","13","Other|NIH","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","7406|NCI-2011-00240|P30CA015704","June 2011","June 2014",,"April 13, 2011",,"March 5, 2015","Fred Hutchinson Cancer Research Center/University of Washington Cancer Consortium, Seattle, Washington, United States",,"https://ClinicalTrials.gov/show/NCT01334177"
20,"NCT02777710","Evaluation of Safety and Activity of an Anti-PDL1 Antibody (DURVALUMAB) Combined With CSF-1R TKI (PEXIDARTINIB) in Patients With Metastatic/Advanced Pancreatic or Colorectal Cancers","MEDIPLEX","Completed","No Results Available","Colorectal Cancer|Pancreatic Cancer|Metastatic Cancer|Advanced Cancer","Drug: Pexidartinib|Drug: Durvalumab","part 1 (dose escalation part) : Dose-Limiting Toxicities (DLT)|part 2 (extension part) : objective response rate (ORR)|The duration of response (DoR)|Progression-Free Survival (PFS)|Adverse events reporting|Area under the Pexidartinib plasma concentration (AUC) versus time curve|Peak Pexidartinib plasma concentration (Cmax)","Centre Leon Berard|AstraZeneca|Plexxikon","All","18 Years and older   (Adult, Older Adult)","Phase 1","48","Other|Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ET15-037 (MEDIPLEX)|2015-002438-31","June 2016","November 2019","December 2019","May 19, 2016",,"September 5, 2021","Centre Léon Bérard, Lyon, France|IUCT-oncopole, Toulouse, France",,"https://ClinicalTrials.gov/show/NCT02777710"
21,"NCT00939770","Crizotinib in Treating Younger Patients With Relapsed or Refractory Solid Tumors or Anaplastic Large Cell Lymphoma",,"Completed","Has Results","Recurrent Childhood Anaplastic Large Cell Lymphoma|Recurrent Malignant Solid Neoplasm|Recurrent Neuroblastoma|Refractory Anaplastic Large Cell Lymphoma|Refractory Malignant Solid Neoplasm|Refractory Neuroblastoma","Drug: Crizotinib|Other: Laboratory Biomarker Analysis|Other: Pharmacological Study|Other: Questionnaire Administration","Maximum-tolerated Dose and Recommended Phase 2 Dose of Crizotinib|Number of Participants With Toxicities of Crizotinib|Steady State C Max of Crizotinib|Steady State C Average of Crizotinib|Steady State AUC of Crizotinib|Steady State Clearance of Crizotinib|Number of Participants (Relapsed or Refractory Solid Tumors or Anaplastic Large Cell Lymphoma (ALCL))With Response to Crizotinib|Number of Participants (Relapsed or Refractory Neuroblastoma or Anaplastic Large Cell Lymphoma (ALCL)) With Response to Crizotinib|Number of Participants With Minimum Residual Disease (MRD)","Children's Oncology Group|National Cancer Institute (NCI)|Pfizer","All","1 Year to 21 Years   (Child, Adult)","Phase 1|Phase 2","122","Other|NIH|Industry","Interventional","Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ADVL0912|NCI-2011-01937|P10666|COG-ADVL0912|CDR0000647587|UM1CA097452","September 21, 2009","December 31, 2018","December 31, 2018","July 15, 2009","May 5, 2020","June 9, 2020","Children's Hospital of Alabama, Birmingham, Alabama, United States|University of Alabama at Birmingham Cancer Center, Birmingham, Alabama, United States|Children's Hospital of Orange County, Orange, California, United States|UCSF Medical Center-Parnassus, San Francisco, California, United States|UCSF Medical Center-Mission Bay, San Francisco, California, United States|Children's Hospital Colorado, Aurora, Colorado, United States|Children's National Medical Center, Washington, District of Columbia, United States|Children's Healthcare of Atlanta - Egleston, Atlanta, Georgia, United States|Lurie Children's Hospital-Chicago, Chicago, Illinois, United States|Riley Hospital for Children, Indianapolis, Indiana, United States|National Institutes of Health Clinical Center, Bethesda, Maryland, United States|Dana-Farber Cancer Institute, Boston, Massachusetts, United States|C S Mott Children's Hospital, Ann Arbor, Michigan, United States|University of Minnesota/Masonic Cancer Center, Minneapolis, Minnesota, United States|Washington University School of Medicine, Saint Louis, Missouri, United States|NYP/Columbia University Medical Center/Herbert Irving Comprehensive Cancer Center, New York, New York, United States|Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, United States|Nationwide Children's Hospital, Columbus, Ohio, United States|Oregon Health and Science University, Portland, Oregon, United States|Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, United States|Children's Hospital of Pittsburgh of UPMC, Pittsburgh, Pennsylvania, United States|St. Jude Children's Research Hospital, Memphis, Tennessee, United States|Vanderbilt University/Ingram Cancer Center, Nashville, Tennessee, United States|UT Southwestern/Simmons Cancer Center-Dallas, Dallas, Texas, United States|Baylor College of Medicine/Dan L Duncan Comprehensive Cancer Center, Houston, Texas, United States|Seattle Children's Hospital, Seattle, Washington, United States|Children's Hospital of Wisconsin, Milwaukee, Wisconsin, United States|Hospital for Sick Children, Toronto, Ontario, Canada","""Study Protocol, Statistical Analysis Plan, and Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/70/NCT00939770/Prot_SAP_ICF_001.pdf","https://ClinicalTrials.gov/show/NCT00939770"
22,"NCT02806817","ME-344 in Early HER2-negative Breast Cancer With Antiangiogenic-induced Mitochondrial Metabolism",,"Completed","No Results Available","Breast Cancer|Human Epidermal Growth Factor 2 Negative Carcinoma of Breast|Early-Stage Breast Carcinoma","Drug: ME-344|Drug: Bevacizumab|Other: Normal saline","Reduction of FDG uptake|SDH (succinate dehydrogenase) levels staining|Toxicity profile: Number of Participants With Treatment-Related Adverse Events as Assessed by CTCAE v4.0|Ki67 changes|Cleaved caspase-3 changes","Centro Nacional de Investigaciones Oncologicas CARLOS III|Fundacion CRIS de Investigación para Vencer el Cáncer","Female","18 Years and older   (Adult, Older Adult)","Early Phase 1","40","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","CNIO-BR-009|2015-005457-12","July 2016","October 2018","November 2018","June 21, 2016",,"July 23, 2019","Hospital Universitario de Fuenlabrada, Fuenlabrada, Madrid, Spain|H. Arnau de Vilanova Lleida, Lleida, Spain|Hospital Ramón y Cajal, Madrid, Spain|Hospital Universitario 12 de Octubre, Madrid, Spain|Clínica Quirón, Madrid, Spain",,"https://ClinicalTrials.gov/show/NCT02806817"
23,"NCT01261754","A Study of 99mTc-MIP-1404 and 99mTc-MIP-1405 in Patients With Metastatic Prostate Adenocarcinoma and Healthy Volunteers",,"Completed","No Results Available","Prostate Cancer","Radiation: 99mTc MIP 1404|Radiation: 99mTc MIP 1405","Safety of Administered dose|Pharmacokinetics of Administered Dose|Biodistribution of Administered Dose|Excretion of administered dose|Dosimetry of administered dose|Metabolism of administered dose","Molecular Insight Pharmaceuticals, Inc.","Male","21 Years and older   (Adult, Older Adult)","Phase 1","16","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Single (Participant)|Primary Purpose: Diagnostic","TcTx-P101","December 2010","February 2012",,"December 16, 2010",,"November 25, 2015","New York Presbyterian Hospital - Weill Medical College of Cornell University, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT01261754"
24,"NCT00712829","Study to Evaluate the Safety, Pharmacokinetics, Tissue Distribution, Metabolism and Dosimetry of Two Prostate Cancer Imaging Agents",,"Completed","No Results Available","Prostate Cancer","Drug: 123-I-MIP-1072|Drug: 123-I-MIP-1095","To examine the pharmacokinetics and organ radiation dosimetry of 123-I-MIP-1072 and 123I-MIP-1095 in patients with prior histological diagnosis of prostate cancer with evidence of recurrent metastatic disease.|To examine whole body excretion and metabolism of 123-I-MIP-1072 and 123-I-MIP-1095 in patients with recurrent metastatic prostate cancer.|To evaluate the safety of administering a 10.0 mCi dose of 123-I-MIP-1072 and 123-I-MIP-1095 to patients with recurrent metastatic prostate cancer.|Optimize imaging parameters","Molecular Insight Pharmaceuticals, Inc.","Male","18 Years and older   (Adult, Older Adult)","Phase 1","12","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Single (Participant)|Primary Purpose: Diagnostic","TX-P101","May 2008","January 2009","January 2009","July 10, 2008",,"October 12, 2011","Johns Hopkins Medical Institutes - Neuroradiology Division, Baltimore, Maryland, United States|New York Weill Cornell Medical Center - New York Presbyterian Hospital, New York, New York, United States|Duke University Medical Center, Durham, North Carolina, United States",,"https://ClinicalTrials.gov/show/NCT00712829"
25,"NCT03626415","A Hepatic Impairment Study for PF-04965842.",,"Completed","Has Results","Hepatic Impairment","Drug: PF-04965842","Maximum Observed Plasma Concentration (Cmax) for PF-04965842|Area Under the Plasma Concentration-Time Curve From Time Zero Extrapolated to Infinite Time (AUCinf) for PF-04965842|Number of Participants With Treatment-Emergent Adverse Events (AEs) for PF-04965842|Number of Participants With Laboratory Test Abnormalities (Without Regard to Baseline Abnormality)|Number of Participants With Electrocardiogram (ECG) Findings of Potential Clinical Importance for PF-04965842|Number of Participants With Vital Sign Findings of Potential Clinical Importance for PF-04965842","Pfizer","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 1","24","Industry","Interventional","Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","B7451020","October 1, 2018","April 30, 2019","April 30, 2019","August 13, 2018","May 18, 2020","May 18, 2020","Orlando Clinical Research Center, Orlando, Florida, United States|Prism Clinical Research, LLC, Saint Paul, Minnesota, United States","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/15/NCT03626415/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/15/NCT03626415/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT03626415"
